,,,Authorization,,,,,,,,,Keychain,,Keys,,,
Connections,Change connection state,Change connection state,,,X,,X,X,,,,Lifecycle Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Lifecycle Management','Change connection state', NOW(), uuid_nil())",14ac9622-3170-4580-8403-ed7a584f90ef,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('14ac9622-3170-4580-8403-ed7a584f90ef','Lifecycle Management','Lifecycle Management','Connections','Change connection state','Change connection state', NOW(), uuid_nil())",X,TRUE
Connections,Flush Meshsync data,Clearing the database by clicking on the `Flush MeshSync`,,,X,,X,X,,,,Lifecycle Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Lifecycle Management','Flush Meshsync data', NOW(), uuid_nil())",8dd4c54a-bccd-4fb3-a18c-269195653a91,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('8dd4c54a-bccd-4fb3-a18c-269195653a91','Lifecycle Management','Lifecycle Management','Connections','Flush Meshsync data','Clearing the database by clicking on the `Flush MeshSync`', NOW(), uuid_nil())",X,TRUE
Connections,Register discovered Meshsync resource,Register discovered Meshsync resource to change state to connection,,,X,,X,X,,,,Lifecycle Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Lifecycle Management','Register discovered Meshsync resource', NOW(), uuid_nil())",214ad6b1-df4d-44a6-8872-8ad1f751ef68,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('214ad6b1-df4d-44a6-8872-8ad1f751ef68','Lifecycle Management','Lifecycle Management','Connections','Register discovered Meshsync resource','Register discovered Meshsync resource to change state to connection', NOW(), uuid_nil())",X,TRUE
Connections,Delete a connection,Delete a connection,,,X,,X,X,,,,Lifecycle Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Lifecycle Management','Delete a connection', NOW(), uuid_nil())",61afb8c2-cda6-4175-aad9-74ff87fed323,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('61afb8c2-cda6-4175-aad9-74ff87fed323','Lifecycle Management','Lifecycle Management','Connections','Delete a connection','Delete a connection', NOW(), uuid_nil())",X,TRUE
Settings,View Settings,View settings in Meshery,X,X,X,,X,X,,,,Settings Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Settings Management','View Settings', NOW(), uuid_nil())",fdc038e3-1fdf-403a-af8a-53c0de8d7820,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('fdc038e3-1fdf-403a-af8a-53c0de8d7820','Settings Management','Meshery System','Settings','View Settings','View settings in Meshery', NOW(), uuid_nil())",X,TRUE
Settings,Connect adapter,Configure and connect to Meshery adapters,,,,,X,X,,,,Settings Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Settings Management','Connect adapter', NOW(), uuid_nil())",c93bd211-1dac-42cc-9086-859288826d1b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c93bd211-1dac-42cc-9086-859288826d1b','Settings Management','Meshery System','Settings','Connect adapter','Configure and connect to Meshery adapters', NOW(), uuid_nil())",X,TRUE
Settings,Connect Metrics,Configure and connect to metrics like Grafana and Promethues,,,,,X,X,,,,Settings Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Settings Management','Connect Metrics', NOW(), uuid_nil())",b0aee906-c549-445f-be0c-b98b04d47d09,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b0aee906-c549-445f-be0c-b98b04d47d09','Settings Management','Meshery System','Settings','Connect Metrics','Configure and connect to metrics like Grafana and Promethues', NOW(), uuid_nil())",X,TRUE
Settings,View Metrics,View already configured metrics,X,X,X,,X,X,,,,Settings Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Settings Management','View Metrics', NOW(), uuid_nil())",7fe36f60-fd0a-4fda-84e5-c64a04c3ad06,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7fe36f60-fd0a-4fda-84e5-c64a04c3ad06','Settings Management','Meshery System','Settings','View Metrics','View already configured metrics', NOW(), uuid_nil())",X,TRUE
Settings,View Registry,Explore entities within capabilities registry ,X,X,X,,X,X,,,,Settings Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Settings Management','View Registry', NOW(), uuid_nil())",cc069117-08cc-44e3-9c61-ae0eeca0bcf1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cc069117-08cc-44e3-9c61-ae0eeca0bcf1','Settings Management','Meshery System','Settings','View Registry','Explore entities within capabilities registry ', NOW(), uuid_nil())",X,TRUE
Performance,Add performace profile,Add a new performace profile,,,,,X,X,,,,Performance Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Performance Management','Add performace profile', NOW(), uuid_nil())",b2861578-c573-45fe-a95e-0356d56e1d1b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b2861578-c573-45fe-a95e-0356d56e1d1b','Performance Management','Performance Management','Performance','Add performace profile','Add a new performace profile', NOW(), uuid_nil())",X,TRUE
Performance,Run test,Run a test on performance profile,,,,,X,X,,,,Performance Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Performance Management','Run test', NOW(), uuid_nil())",06de2b07-b4f4-4701-b87f-d92ebb66ba42,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('06de2b07-b4f4-4701-b87f-d92ebb66ba42','Performance Management','Performance Management','Performance','Run test','Run a test on performance profile', NOW(), uuid_nil())",X,TRUE
Performance,View Results,View results of performance tests,X,X,X,,X,X,,,,Performance Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Performance Management','View Results', NOW(), uuid_nil())",0c757cc7-4038-4d9b-9b60-fa8d9fc9d27e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('0c757cc7-4038-4d9b-9b60-fa8d9fc9d27e','Performance Management','Performance Management','Performance','View Results','View results of performance tests', NOW(), uuid_nil())",X,TRUE
Performance,Edit performance test,Edit performance test,,,,,X,X,,,,Performance Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Performance Management','Edit performance test', NOW(), uuid_nil())",33aa5c47-a8aa-4ad5-9950-7c17042c001d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('33aa5c47-a8aa-4ad5-9950-7c17042c001d','Performance Management','Performance Management','Performance','Edit performance test','Edit performance test', NOW(), uuid_nil())",X,TRUE
Performance,Delete performance test,Delete performance test,,,,,X,X,,,,Performance Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Performance Management','Delete performance test', NOW(), uuid_nil())",84aa9d3c-3d4b-4587-947d-ae17b2dcd5f5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('84aa9d3c-3d4b-4587-947d-ae17b2dcd5f5','Performance Management','Performance Management','Performance','Delete performance test','Delete performance test', NOW(), uuid_nil())",X,TRUE
Performance,View performance profiles,View all performance profiles,X,X,X,,X,X,,,,Performance Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Performance Management','View performance profiles', NOW(), uuid_nil())",6593ac26-820b-4e87-be32-64ee740ea204,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6593ac26-820b-4e87-be32-64ee740ea204','Performance Management','Performance Management','Performance','View performance profiles','View all performance profiles', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Manage cloud native infrastructure life cycle,Manage cloud native infrastructure life cycle,,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Manage cloud native infrastructure life cycle', NOW(), uuid_nil())",255fd148-e3fd-4408-a48c-0d157a57d4d9,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('255fd148-e3fd-4408-a48c-0d157a57d4d9','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Manage cloud native infrastructure life cycle','Manage cloud native infrastructure life cycle', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Manage cloud native infrastructure configuration,"Manage cloud native configuration for applications like EmojiVoto, HTTPBin, Image Hub, Istio Book Info",,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Manage cloud native infrastructure configuration', NOW(), uuid_nil())",0eb0558d-9b21-4e50-b4c6-bd8e9e3414f5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('0eb0558d-9b21-4e50-b4c6-bd8e9e3414f5','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Manage cloud native infrastructure configuration','Manage cloud native configuration for applications like EmojiVoto, HTTPBin, Image Hub, Istio Book Info', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Apply cloud native infrastructure configuration,"Configure cloud native with some predefined options like Automatic Sidecar injection, Envoy Filter, Policy",,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Apply cloud native infrastructure configuration', NOW(), uuid_nil())",3f20a106-24f5-4da6-a8eb-6eddaad50944,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3f20a106-24f5-4da6-a8eb-6eddaad50944','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Apply cloud native infrastructure configuration','Configure cloud native with some predefined options like Automatic Sidecar injection, Envoy Filter, Policy', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Validate cloud native infrastructure configuration,"Validate cloud native configuration against best practices like Analyze Running Configuration, SMI conformance",,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Validate cloud native infrastructure configuration', NOW(), uuid_nil())",8bb93f97-fcfb-4827-9fed-f931fdca7b95,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('8bb93f97-fcfb-4827-9fed-f931fdca7b95','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Validate cloud native infrastructure configuration','Validate cloud native configuration against best practices like Analyze Running Configuration, SMI conformance', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Apply custom cloud native infrastructure configuration,Apply custom cloud native configuration,,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Apply custom cloud native infrastructure configuration', NOW(), uuid_nil())",2f4e2300-4c7e-4d48-95aa-74614a4826fe,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('2f4e2300-4c7e-4d48-95aa-74614a4826fe','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Apply custom cloud native infrastructure configuration','Apply custom cloud native configuration', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Deploy cloud native infrastructure,Deploy cloud native infrastructure,,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Deploy cloud native infrastructure', NOW(), uuid_nil())",f7e70ffb-333d-43b3-a76e-0e6c63b9fbfa,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f7e70ffb-333d-43b3-a76e-0e6c63b9fbfa','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Deploy cloud native infrastructure','Deploy cloud native infrastructure', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,Undeploy cloud native infrastructure,Undeploy cloud native infrastructure,,,,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','Undeploy cloud native infrastructure', NOW(), uuid_nil())",6e7f6f4f-4321-4e42-9eff-6a8323f32e84,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6e7f6f4f-4321-4e42-9eff-6a8323f32e84','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','Undeploy cloud native infrastructure','Undeploy cloud native infrastructure', NOW(), uuid_nil())",X,TRUE
Cloud native infrastructure lifecycle,View cloud native infrastructure,View all cloud native infrastructure in Meshery UI,X,X,X,,X,X,,,,Infrastructure Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Infrastructure Management','View cloud native infrastructure', NOW(), uuid_nil())",fdc485dc-f68b-405c-9e54-7b9a7254c282,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('fdc485dc-f68b-405c-9e54-7b9a7254c282','Infrastructure Management','Infrastructure Management','Cloud native infrastructure lifecycle','View cloud native infrastructure','View all cloud native infrastructure in Meshery UI', NOW(), uuid_nil())",X,TRUE
Connections,View Connections,View all connections within an environment,X,X,X,,X,X,,,,Lifecycle management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Lifecycle management','View Connections', NOW(), uuid_nil())",b35c9ce0-e787-4de6-8560-631007b0b947,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b35c9ce0-e787-4de6-8560-631007b0b947','Lifecycle management','Workspace Management','Connections','View Connections','View all connections within an environment', NOW(), uuid_nil())",X,TRUE
Environments,View Environment,See all environments within an workspace.,X,X,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','View Environment', NOW(), uuid_nil())",e3656bbc-fba2-483d-9996-34f8614cd21b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('e3656bbc-fba2-483d-9996-34f8614cd21b','Organization Management','Workspace Management','Environments','View Environment','See all environments within an workspace.', NOW(), uuid_nil())",X,FALSE
Environments,Create Environment,Create a new environment,,,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Create Environment', NOW(), uuid_nil())",a97b7f3b-3349-4a86-b917-2ce0b64a540b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('a97b7f3b-3349-4a86-b917-2ce0b64a540b','Organization Management','Workspace Management','Environments','Create Environment','Create a new environment', NOW(), uuid_nil())",X,TRUE
Environments,Delete Environment,Dissolve environment and all connection memberships. Leave associated resources intact.,,,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Delete Environment', NOW(), uuid_nil())",70747966-dfad-4523-93ce-bd7421258955,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('70747966-dfad-4523-93ce-bd7421258955','Organization Management','Workspace Management','Environments','Delete Environment','Dissolve environment and all connection memberships. Leave associated resources intact.', NOW(), uuid_nil())",X,TRUE
Environments,Edit Environment,Edit environment and it connection membership,,,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Edit Environment', NOW(), uuid_nil())",145ab6ed-b4b6-4e34-ada5-78dada250f89,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('145ab6ed-b4b6-4e34-ada5-78dada250f89','Organization Management','Workspace Management','Environments','Edit Environment','Edit environment and it connection membership', NOW(), uuid_nil())",X,TRUE
Environments,Assign connections to environment,Add new connections to environments,,,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Assign connections to environment', NOW(), uuid_nil())",52cbe0b8-9aa7-4605-8eed-aa37e595adbb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('52cbe0b8-9aa7-4605-8eed-aa37e595adbb','Organization Management','Workspace Management','Environments','Assign connections to environment','Add new connections to environments', NOW(), uuid_nil())",X,TRUE
Environments,Remove connections from environments,"Remove connections from environment, ",,,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Remove connections from environments', NOW(), uuid_nil())",65648682-e47f-43d7-a5ad-dc042803f951,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('65648682-e47f-43d7-a5ad-dc042803f951','Organization Management','Workspace Management','Environments','Remove connections from environments','Remove connections from environment, ', NOW(), uuid_nil())",X,TRUE
Catalog,View Catalog,View all items in catalog,X,X,X,,X,X,,,,User View,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('User View','View Catalog', NOW(), uuid_nil())",0cd05106-36b6-4393-a08e-4222fc10c8de,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('0cd05106-36b6-4393-a08e-4222fc10c8de','User View','Catalog Management','Catalog','View Catalog','View all items in catalog', NOW(), uuid_nil())",X,FALSE
Workspace,View Workspace,See all workspaces within an organisation,X,X,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','View Workspace', NOW(), uuid_nil())",bc9379e8-dc18-4655-b53c-c641271c4ba3,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('bc9379e8-dc18-4655-b53c-c641271c4ba3','Workspace Management','Workspace Management','Workspace','View Workspace','See all workspaces within an organisation', NOW(), uuid_nil())",X,FALSE
Workspace,Delete Workspace,Dissolve workspace and all team and environment memberships. Leave associated resources intact,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Delete Workspace', NOW(), uuid_nil())",09eb0507-2f14-4bc4-92c5-9e26a4efbd5e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('09eb0507-2f14-4bc4-92c5-9e26a4efbd5e','Workspace Management','Workspace Management','Workspace','Delete Workspace','Dissolve workspace and all team and environment memberships. Leave associated resources intact', NOW(), uuid_nil())",X,TRUE
Workspace,Edit Workspace,Edit workspace and it's team and environment membership,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Edit Workspace', NOW(), uuid_nil())",4112230f-5d1e-4d30-9790-942ad5c1dc50,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('4112230f-5d1e-4d30-9790-942ad5c1dc50','Workspace Management','Workspace Management','Workspace','Edit Workspace','Edit workspace and it's team and environment membership', NOW(), uuid_nil())",X,TRUE
Workspace,Create Workspace,Create new workspace,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Create Workspace', NOW(), uuid_nil())",eb42ac41-a883-465e-843c-d64e962a3a0e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('eb42ac41-a883-465e-843c-d64e962a3a0e','Workspace Management','Workspace Management','Workspace','Create Workspace','Create new workspace', NOW(), uuid_nil())",X,TRUE
Workspace,Assign team to workspace,Add new team to workspace,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Assign team to workspace', NOW(), uuid_nil())",6ab4263b-0bb3-492e-9878-6936a5b6312f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6ab4263b-0bb3-492e-9878-6936a5b6312f','Workspace Management','Workspace Management','Workspace','Assign team to workspace','Add new team to workspace', NOW(), uuid_nil())",X,TRUE
Workspace,Remove team from workspace,Remove team from workspace,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Remove team from workspace', NOW(), uuid_nil())",c4ed82f5-783d-4451-9b34-44f50cae71df,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c4ed82f5-783d-4451-9b34-44f50cae71df','Workspace Management','Workspace Management','Workspace','Remove team from workspace','Remove team from workspace', NOW(), uuid_nil())",X,TRUE
Workspace,Assign environment to workspace,Add new environment to workspace,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Assign environment to workspace', NOW(), uuid_nil())",f421fc20-c14a-4282-b526-776c6cacfd99,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f421fc20-c14a-4282-b526-776c6cacfd99','Workspace Management','Workspace Management','Workspace','Assign environment to workspace','Add new environment to workspace', NOW(), uuid_nil())",X,TRUE
Workspace,Remove environment from workspace,Remove environment from workspace,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Remove environment from workspace', NOW(), uuid_nil())",d0657715-80fb-4b00-af27-b78bb0fa56df,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d0657715-80fb-4b00-af27-b78bb0fa56df','Workspace Management','Workspace Management','Workspace','Remove environment from workspace','Remove environment from workspace', NOW(), uuid_nil())",X,TRUE
Workspace,Assign Designs to Workspaces,Assign designs to workspaces,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Assign Designs to Workspaces', NOW(), uuid_nil())",64a1bad5-30f1-431a-aea0-8073d14a0262,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('64a1bad5-30f1-431a-aea0-8073d14a0262','Workspace Management','Workspace Management','Workspace','Assign Designs to Workspaces','Assign designs to workspaces', NOW(), uuid_nil())",,FALSE
Workspace,Remove Designs from Workspaces,Remove designs from workspaces,,,X,,X,X,,,,Workspace Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Workspace Management','Remove Designs from Workspaces', NOW(), uuid_nil())",076515f1-f696-4211-ae27-58d5463a229e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('076515f1-f696-4211-ae27-58d5463a229e','Workspace Management','Workspace Management','Workspace','Remove Designs from Workspaces','Remove designs from workspaces', NOW(), uuid_nil())",,FALSE
Settings,Reset Database,Reset Meshery database,,,,,X,X,,,,Settings Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Settings Management','Reset Database', NOW(), uuid_nil())",84fc402c-f33e-4a21-a0e3-e14f9e20b125,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('84fc402c-f33e-4a21-a0e3-e14f9e20b125','Settings Management','Meshery System','Settings','Reset Database','Reset Meshery database', NOW(), uuid_nil())",X,TRUE
